"No.","Time","Delta","Source","Destination","Protocol","Length","Info"
"4426","184.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4450","185.428800","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4474","186.428796","0.999996","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4498","187.428798","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4523","188.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4547","189.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4571","190.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4595","191.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4619","192.428798","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4643","193.428800","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4667","194.428798","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4691","195.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4715","196.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4739","197.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4764","198.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4788","199.428799","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4812","200.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4836","201.428810","1.000012","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4860","202.428802","0.999992","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4881","203.428797","0.999995","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4905","204.428803","1.000006","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4929","205.428797","0.999994","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4953","206.428798","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"4977","207.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5002","208.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5026","209.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5050","210.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5074","211.428796","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5098","212.428797","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5122","213.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5146","214.428800","1.000003","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5170","215.428800","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5194","216.428799","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5218","217.428795","0.999996","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5243","218.428799","1.000004","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5264","219.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5288","220.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5312","221.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5336","222.428799","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5360","223.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5384","224.428798","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5408","225.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5432","226.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5456","227.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5481","228.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5505","229.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5529","230.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5553","231.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5577","232.428800","1.000003","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5601","233.428798","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5625","234.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5649","235.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5670","236.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5694","237.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5719","238.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5743","239.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5767","240.428798","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5791","241.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5815","242.428801","1.000003","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5839","243.428798","0.999997","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5863","244.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5887","245.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5911","246.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5935","247.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5960","248.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"5984","249.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6009","250.428798","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6033","251.428797","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6057","252.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6078","253.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6102","254.428797","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6126","255.428799","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6150","256.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6174","257.428799","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6199","258.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6223","259.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6247","260.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6271","261.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6295","262.428798","0.999999","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6319","263.428799","1.000001","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6343","264.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6367","265.428799","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6391","266.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6415","267.428799","1.000002","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6440","268.428797","0.999998","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6464","269.428801","1.000004","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6488","270.428798","0.999997","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
"6512","271.428798","1.000000","00:f1:f5:30:f3:09","IecTc57_01:00:01","GOOSE","144",""
